favorite_count,retweet_count,tweet_id
35100,7388,892420643555336193
30383,5504,892177421306343426
22846,3636,891815181378084864
38374,7564,891689557279858688
36643,8148,891327558926688256
18482,2732,891087950875897856
10745,1767,890971913173991426
59098,16537,890729181411237888
25427,3783,890609185150312448
29015,6412,890240255349198849
28003,6434,890006608113172480
25449,4366,889880896479866881
43709,8773,889665388333682689
24566,3919,889638837579907072
13842,1978,889531135344209921
22890,4660,889278841981685760
26546,3930,888917238123831296
23292,3716,888804989199671297
17965,3028,888554962724278272
19866,3044,888078434458587136
27597,4729,887705289381826560
42239,10309,887517139158093824
62518,15749,887473957103951883
30663,9241,887343217045368832
27957,5228,887101392804085760
31668,6692,886983233522544640
10885,2783,886736880519319552
20496,3926,886680336477933568
19238,2775,886366144734445568
108,3,886267009285017600
25499,5541,886258384151887873
0,96,886054160059072513
29680,5887,885984800019947520
32754,5601,885528943205470208
18664,3273,885518971528720385
0,16195,885311592912609280
19946,3837,885167619883638784
70039,15826,884925521741709313
25341,4901,884876753390489601
22136,4120,884562892145688576
24727,4995,884441805382717440
65993,17806,884247878851493888
18592,2623,884162670584377345
19908,2995,883838122936631299
41733,8658,883482846933004288
20665,3224,883360690899218434
33778,5817,883117836046086144
21763,3399,882992080364220416
25728,4286,882762694511734784
25548,5312,882627270321602560
40789,10152,882268110199369728
26697,4261,882045870035918850
22198,2984,881906580714921986
46187,9361,881666595344535552
115,7,881633300179243008
45086,14048,881536004380872706
21240,4659,881268444196462592
15597,2448,880935762899988482
19417,3355,880872448815771648
25928,5458,880465832366813184
24549,3643,880221127280381952
25180,3815,880095782870896641
20402,3055,879862464715927552
290,10,879674319642796034
21430,2780,879492040517615616
96337,39199,879415818425184262
15393,2747,879376492567855104
0,5994,879130579576475649
20576,4135,879050749262655488
17359,2353,879008229531029506
17709,3611,878776093423087618
27435,6209,878604707211726852
0,1122,878404777348136964
0,5825,878316110768087041
7041,1122,878281511006478336
38451,5994,878057613040115712
72180,16647,877736472329191424
0,71,877611172832227328
20720,3339,877556246731214848
25073,4585,877316821321428993
24760,4893,877201837425926144
18916,2934,876838120628539392
21710,4137,876537666061221889
17183,2087,876484053909872640
25611,4098,876120275196170240
22972,3758,875747767867523072
20060,4324,875144289856114688
25121,5369,875097192612077568
23370,4165,875021211251597312
25486,4096,874680097055178752
0,12823,874434818259525634
23866,3651,874296783580663808
20840,3517,874057562936811520
31296,9026,874012996292530176
22207,3487,873580283840344065
0,1401,873337748698140672
6564,1401,873213775632977920
24978,4783,872967104147763200
13537,3300,872820683541237760
19039,3225,872620804844003328
37409,8068,872486979161796608
31437,7190,872122724285648897
34436,9702,871879754684805121
18563,3089,871762521631449091
18541,3085,871515927908634625
0,5089,871166179821445120
19228,4905,871102520638267392
20919,3386,871032628920680449
30930,5501,870804317367881728
112,3,870726314365509632
11310,2319,870656317836468226
76628,23760,870374049280663552
20180,3695,870308999962521604
33612,7412,870063196459192321
39290,9073,869772420881756160
25964,5619,869702957897576449
14720,2776,869596645499047938
18831,3362,869227993411051520
60203,12865,868880397819494401
0,1839,868639477480148993
24521,4725,868622495443632128
9292,1839,868552278524837888
22363,3755,867900495410671616
31398,6574,867774946302451713
14842,2233,867421006826221569
0,106,867072653475098625
29773,7084,867051520902168576
18473,4314,866720684873056260
17811,3108,866686824827068416
112975,31729,866450705531457537
48401,12823,866334964761202691
0,7539,866094527597207552
23815,5071,865718153858494464
24507,4513,865359393868664832
25973,6987,865006731092295680
29885,7842,864873206498414592
13546,2714,864279568663928832
27763,7967,864197398364647424
19150,3752,863907417377173506
14154,3795,863553081350529029
0,2186,863471782782697472
22081,4747,863432100342583297
2037,85,863427515083354112
8164,1008,863079547188785154
7825,2186,863062471531167744
17831,4659,862831371563274240
15913,3222,862722525377298433
18980,4464,862457590147678208
68915,20983,862096992088072192
33598,9740,861383897657036800
15965,3766,861288531465048066
15565,3481,861005113778896900
0,1944,860981674716409858
0,716,860924035999428608
6976,1944,860563773140209665
22063,4820,860524505164394496
17178,3213,860276583193509888
15542,5355,860184849394610176
0,28156,860177593139703809
18319,3752,859924526012018688
14446,3224,859851578198683649
17441,1417,859607811541651456
83845,27565,859196978902773760
31605,12511,859074603037188101
0,7435,858860390427611136
14633,3183,858843525470990336
20213,4477,858471635011153920
14769,2654,858107933456039936
15068,2374,857989990357356544
32066,9782,857746408056729600
5525,1512,857393404942143489
18881,4161,857263160327368704
210,17,857214891891077121
0,154,857062103051644929
17711,3668,857029823797047296
15412,2667,856543823941562368
11193,1741,856526610513747968
0,617,856330835276025856
488,15,856288084350160898
26147,5821,856282028240666624
313,22,855862651834028034
4611,898,855860136149123072
11225,1952,855857698524602368
43346,16800,855851453814013952
25205,5041,855818117272018944
28128,7641,855459453768019968
0,5523,855245323840757760
0,39,855138241867124737
21500,5644,854732716440526848
27619,6348,854482394044301312
17886,4368,854365224396361728
30305,6952,854120357044912130
15414,2937,854010172552949760
27112,5380,853760880890318849
32858,9343,853639147608842240
14716,3323,853299958564483072
0,1859,852936405516943360
8558,1690,852912242202992640
14192,2025,852672615818899456
15471,3259,852553447878664193
31534,9320,852311364735569921
19009,6404,852226086759018497
10942,1492,852189679701164033
0,19,851861385021730816
15524,3266,851591660324737024
23131,6641,851464819735769094
19759,5412,851224888060895234
29341,8526,850753642995093505
12527,2449,850380195714523136
3307,309,850333567704068097
15609,3567,850145622816686080
19523,4591,850019790995546112
29065,7159,849776966551130114
0,4675,849668094696017920
15208,2966,849412302885593088
10933,1783,849336543269576704
40564,7992,849051919805034497
24162,4094,848690551926992896
23707,4374,848324959059550208
7832,676,848213670039564288
15648,2852,848212111729840128
0,3081,847978865427394560
0,418,847971574464610304
22579,4808,847962785489326080
5206,1249,847842811428974592
6709,391,847617282490613760
18033,3246,847606175596138505
19708,4105,847251039262605312
19067,5530,847157206088847362
20649,3021,847116187444137987
19321,3730,846874817362120707
42841,10942,846514051647705089
13587,2912,846505985330044928
30343,8573,846153765933735936
29891,9584,846139713627017216
15384,2712,846042936437604353
28130,8256,845812042753855489
24288,4579,845677943972139009
7338,1695,845397057150107648
22479,5106,845306882940190720
0,7273,845098359547420673
13153,2426,844979544864018432
14477,3011,844973813909606400
15873,2960,844580511645339650
13192,2077,844223788422217728
14666,2820,843981021012017153
20733,4388,843856843873095681
16309,2602,843604394117681152
20763,5711,843235543001513987
14787,3466,842846295480000512
6501,1206,842765311967449089
17525,3352,842535590457499648
23611,5523,842163532590374912
13521,2885,842115215311396866
0,14334,841833993020538882
24954,7490,841680585030541313
12194,3495,841439858740625411
19159,5279,841320156043304961
15310,4432,841314665196081154
22127,5089,841077006473256960
0,1677,840761248237133825
0,15325,840728873075638272
172,2,840698636975636481
11899,927,840696689258311684
8703,1677,840632337062862849
15918,4356,840370681858686976
18646,5489,840268004936019968
13007,2174,839990271299457024
26589,7435,839549326359670784
0,137,839290600511926273
26277,6241,839239871831150596
19076,3842,838952994649550848
10803,1955,838921590096166913
0,32,838916489579200512
0,10582,838831947270979586
10640,1274,838561493054533637
21814,4555,838476387338051585
0,9639,838201503651401729
1617,319,838150277551247360
136,1,838085839343206401
17134,2994,838083903487373313
33093,7539,837820167694528512
3749,425,837482249356513284
12437,2167,837471256429613056
15596,2271,837110210464448512
12409,2213,836989968035819520
18834,4465,836753516572119041
12295,2139,836677758902222849
0,532,836648853927522308
0,26444,836397794269200385
14383,2879,836380477523124226
20740,4152,836260088725786625
18551,4105,836001077879255040
0,7828,835685285446955009
17330,3468,835574547218894849
0,1622,835536468978302976
0,20164,835309094223372289
16046,2886,835297930240217089
7512,1622,835264098648616962
2051,69,835246439529840640
25485,5553,835172783151792128
21784,2889,835152434251116546
10506,1562,834931633769889797
20903,5332,834786237630337024
13294,2425,834574053763584002
0,10259,834477809192075265
9371,1614,834458053273591808
20016,4573,834209720923721728
15426,3539,834167344700198914
9785,2063,834089966724603904
12727,2128,834086379323871233
13104,2319,833863086058651648
17672,3627,833826103416520705
0,212,833732339549220864
20365,3127,833722901757046785
14507,1968,833479644947025920
19725,4675,833124694597443584
12930,2121,832998151111966721
0,38,832769181346996225
16458,3492,832757312314028032
11577,2820,832682457690300417
2858,514,832645525019123713
15485,2688,832636094638288896
11690,2134,832397543355072512
16755,3081,832369877331693569
11068,2258,832273440279240704
0,6015,832215909146226688
0,9023,832215726631055365
61,2,832088576586297345
0,9270,832040443403784192
17430,4512,832032802820481025
23393,5942,831939777352105988
324,34,831926988323639298
26911,6291,831911600680497154
10185,1755,831670449226514432
6952,1859,831650051525054464
8756,2252,831552930092285952
9074,1498,831322785565769729
6380,1080,831315979191906304
11500,2392,831309418084069378
11626,1978,831262627380748289
7805,1445,830956169170665475
